Plan Name,Supplier,Rate ($/kWh),Term (Months),Renewable %,Cancel Fee,Phone,Signup Link,Learn More Link
Optional Green 33,Hampton Community Power Aggregation,$0.10798,4,57.30,No,1-866-485-5858,"<a href=""https://www.hamptonnh.gov/community-power"" target=""_blank"">Sign up</a>","<a href=""https://www.hamptonnh.gov/community-power"" target=""_blank"">Learn more</a>"
SmartEnergy - Web Only Rate,SmartEnergy,$0.10890,4,100.00,No,1-800-760-1207,"<a href=""https://www.smartenergy.com/"" target=""_blank"">Sign up</a>","<a href=""https://www.smartenergy.com/"" target=""_blank"">Learn more</a>"
New Boston GREEN Default,New Boston Community Power,$0.10968,20,34.30,No,1-888-875-1711,"<a href=""https://www.cpcnh.org/"" target=""_blank"">Sign up</a>","<a href=""https://www.cpcnh.org/"" target=""_blank"">Learn more</a>"
Milford PLUS 10%,Milford Community Power,$0.10968,20,34.30,No,1-888-875-1711,"<a href=""https://www.cpcnh.org/"" target=""_blank"">Sign up</a>","<a href=""https://www.cpcnh.org/"" target=""_blank"">Learn more</a>"
Jaffrey GREEN Default,Jaffrey Community Power,$0.10968,20,34.30,No,1-888-875-1711,"<a href=""https://www.cpcnh.org/"" target=""_blank"">Sign up</a>","<a href=""https://www.cpcnh.org/"" target=""_blank"">Learn more</a>"
Swanzey Basic,Swanzey Community Power,$0.11100,30,23.40,No,1-866-968-8065,"<a href=""https://www.town.swanzey.nh.us/community-power"" target=""_blank"">Sign up</a>","<a href=""https://www.town.swanzey.nh.us/community-power"" target=""_blank"">Learn more</a>"
Marlborough Basic,Marlborough Community Power,$0.11100,30,23.40,No,1-866-968-8065,"<a href=""https://www.marlboroughnh.org/community-power"" target=""_blank"">Sign up</a>","<a href=""https://www.marlboroughnh.org/community-power"" target=""_blank"">Learn more</a>"
Keene Basic,Keene Community Power,$0.11100,30,23.40,No,1-866-968-8065,"<a href=""https://www.keenecommunitypower.org/"" target=""_blank"">Sign up</a>","<a href=""https://www.keenecommunitypower.org/"" target=""_blank"">Learn more</a>"
Wilton Basic,Wilton Community Power,$0.11100,30,23.40,No,1-866-968-8065,"<a href=""https://www.wiltonnh.gov/community-power"" target=""_blank"">Sign up</a>","<a href=""https://www.wiltonnh.gov/community-power"" target=""_blank"">Learn more</a>"
Eversource Default,Eversource,$0.11196,6,23.40,No,1-800-662-7764,"<a href=""https://www.eversource.com/"" target=""_blank"">Sign up</a>","<a href=""https://www.eversource.com/"" target=""_blank"">Learn more</a>"
Keene Local Green,Keene Community Power,$0.11470,30,33.40,No,1-866-968-8065,"<a href=""https://www.keenecommunitypower.org/"" target=""_blank"">Sign up</a>","<a href=""https://www.keenecommunitypower.org/"" target=""_blank"">Learn more</a>"
Swanzey Standard,Swanzey Community Power,$0.11471,30,33.40,No,1-866-968-8065,"<a href=""https://www.town.swanzey.nh.us/community-power"" target=""_blank"">Sign up</a>","<a href=""https://www.town.swanzey.nh.us/community-power"" target=""_blank"">Learn more</a>"
Wilton Standard,Wilton Community Power,$0.11471,30,33.40,No,1-866-968-8065,"<a href=""https://www.wiltonnh.gov/community-power"" target=""_blank"">Sign up</a>","<a href=""https://www.wiltonnh.gov/community-power"" target=""_blank"">Learn more</a>"
Marlborough Standard,Marlborough Community Power,$0.11471,30,33.40,No,1-866-968-8065,"<a href=""https://www.marlboroughnh.org/community-power"" target=""_blank"">Sign up</a>","<a href=""https://www.marlboroughnh.org/community-power"" target=""_blank"">Learn more</a>"
New Boston GREEN 50%,New Boston Community Power,$0.11648,20,50.00,No,1-888-875-1711,"<a href=""https://www.cpcnh.org/"" target=""_blank"">Sign up</a>","<a href=""https://www.cpcnh.org/"" target=""_blank"">Learn more</a>"
Milford GREEN 50%,Milford Community Power,$0.11648,20,50.00,No,1-888-875-1711,"<a href=""https://www.cpcnh.org/"" target=""_blank"">Sign up</a>","<a href=""https://www.cpcnh.org/"" target=""_blank"">Learn more</a>"
Jaffrey GREEN 50%,Jaffrey Community Power,$0.11648,20,50.00,No,1-888-875-1711,"<a href=""https://www.cpcnh.org/"" target=""_blank"">Sign up</a>","<a href=""https://www.cpcnh.org/"" target=""_blank"">Learn more</a>"
Live Brighter TO 15,"Direct Energy Services, LLC",$0.11690,15,0.00,No,888-836-6141,"<a href=""https://www.directenergy.com/"" target=""_blank"">Sign up</a>","<a href=""https://www.directenergy.com/"" target=""_blank"">Learn more</a>"
Power Your Tomorrow Fixed - 12,Town Square Energy,$0.11770,12,0.00,No,1-877-430-0093,"<a href=""https://www.townsquareenergy.com/"" target=""_blank"">Sign up</a>","<a href=""https://www.townsquareenergy.com/"" target=""_blank"">Learn more</a>"
Simple Power 12 - Residential,ENH Power,$0.11790,12,0.00,$100.00,1-833-488-3147,"<a href=""https://enhpower.com/"" target=""_blank"">Sign up</a>","<a href=""https://enhpower.com/"" target=""_blank"">Learn more</a>"
Live Brighter AE 15,"Direct Energy Services, LLC",$0.11790,15,0.00,No,888-836-6141,"<a href=""https://www.directenergy.com/"" target=""_blank"">Sign up</a>","<a href=""https://www.directenergy.com/"" target=""_blank"">Learn more</a>"
Power Your Tomorrow Fixed - 18,Town Square Energy,$0.11870,18,0.00,No,1-877-430-0093,"<a href=""https://www.townsquareenergy.com/"" target=""_blank"">Sign up</a>","<a href=""https://www.townsquareenergy.com/"" target=""_blank"">Learn more</a>"
Think Clean 12,Think Energy,$0.11900,12,100.00,No,1-833-669-3080,"<a href=""https://www.thinkenergy.com/"" target=""_blank"">Sign up</a>","<a href=""https://www.thinkenergy.com/"" target=""_blank"">Learn more</a>"
Hillsborough GREEN 100%,Hillsborough Community Power,$0.11920,7,100.00,No,866-968-8065,"<a href=""http://www.standardpower.com/Communities/Hillsborough/"" target=""_blank"">Sign up</a>","<a href=""http://www.standardpower.com/Communities/Hillsborough/"" target=""_blank"">Learn more</a>"
Bennington GREEN 100%,Bennington Community Power,$0.11930,6,100.00,No,866-968-8065,"<a href=""http://www.standardpower.com/Communities/Bennington/"" target=""_blank"">Sign up</a>","<a href=""http://www.standardpower.com/Communities/Bennington/"" target=""_blank"">Learn more</a>"
Rollinsford GREEN 100%,Rollinsford Community Power,$0.11950,7,100.00,No,866-968-8065,"<a href=""http://www.standardpower.com/Communities/Rollinsford/"" target=""_blank"">Sign up</a>","<a href=""http://www.standardpower.com/Communities/Rollinsford/"" target=""_blank"">Learn more</a>"
Amherst GREEN 100%,Amherst Community Power,$0.11950,6,100.00,No,866-968-8065,"<a href=""http://www.standardpower.com/Communities/Amherst/"" target=""_blank"">Sign up</a>","<a href=""http://www.standardpower.com/Communities/Amherst/"" target=""_blank"">Learn more</a>"
Power Your Tomorrow Fixed - 4,Town Square Energy,$0.12000,4,0.00,$50.00,1-877-430-0093,"<a href=""https://www.townsquareenergy.com/"" target=""_blank"">Sign up</a>","<a href=""https://www.townsquareenergy.com/"" target=""_blank"">Learn more</a>"
Keene 50% Local Green,Keene Community Power,$0.12050,30,50.00,No,1-866-968-8065,"<a href=""https://www.keenecommunitypower.org/"" target=""_blank"">Sign up</a>","<a href=""https://www.keenecommunitypower.org/"" target=""_blank"">Learn more</a>"
Wilton 50,Wilton Community Power,$0.12050,30,50.00,No,1-866-968-8065,"<a href=""https://www.wiltonnh.gov/community-power"" target=""_blank"">Sign up</a>","<a href=""https://www.wiltonnh.gov/community-power"" target=""_blank"">Learn more</a>"
Marlborough 50,Marlborough Community Power,$0.12050,30,50.00,No,1-866-968-8065,"<a href=""https://www.marlboroughnh.org/community-power"" target=""_blank"">Sign up</a>","<a href=""https://www.marlboroughnh.org/community-power"" target=""_blank"">Learn more</a>"
Swanzey 50,Swanzey Community Power,$0.12050,30,50.00,No,1-866-968-8065,"<a href=""https://www.town.swanzey.nh.us/community-power"" target=""_blank"">Sign up</a>","<a href=""https://www.town.swanzey.nh.us/community-power"" target=""_blank"">Learn more</a>"
Live Brighter SS 12,"Direct Energy Services, LLC",$0.12090,12,0.00,No,888-836-6141,"<a href=""https://www.directenergy.com/"" target=""_blank"">Sign up</a>","<a href=""https://www.directenergy.com/"" target=""_blank"">Learn more</a>"
Live Brighter 15,"Direct Energy Services, LLC",$0.12290,15,0.00,No,888-836-6141,"<a href=""https://www.directenergy.com/"" target=""_blank"">Sign up</a>","<a href=""https://www.directenergy.com/"" target=""_blank"">Learn more</a>"
Embrace Green 24,CleanSky Energy,$0.12490,24,100.00,$150.00,1-888-355-6205,"<a href=""https://www.cleanskyenergy.com/"" target=""_blank"">Sign up</a>","<a href=""https://www.cleanskyenergy.com/"" target=""_blank"">Learn more</a>"
Think Clean 36,Think Energy,$0.12500,36,100.00,No,1-833-669-3080,"<a href=""https://www.thinkenergy.com/"" target=""_blank"">Sign up</a>","<a href=""https://www.thinkenergy.com/"" target=""_blank"">Learn more</a>"
Live Brighter AE 12,"Direct Energy Services, LLC",$0.12690,12,0.00,No,888-836-6141,"<a href=""https://www.directenergy.com/"" target=""_blank"">Sign up</a>","<a href=""https://www.directenergy.com/"" target=""_blank"">Learn more</a>"
Ultra Clean Solar 24,CleanSky Energy,$0.12790,24,100.00,$150.00,1-888-355-6205,"<a href=""https://www.cleanskyenergy.com/"" target=""_blank"">Sign up</a>","<a href=""https://www.cleanskyenergy.com/"" target=""_blank"">Learn more</a>"
12 Month Standard Fixed,"North American Power & Gas, LLC",$0.12790,12,0.00,$10.00,877-572-9965,"<a href=""https://www.napower.com/"" target=""_blank"">Sign up</a>","<a href=""https://www.napower.com/"" target=""_blank"">Learn more</a>"
Live Brighter 24,"Direct Energy Services, LLC",$0.12890,24,0.00,No,888-836-6141,"<a href=""https://www.directenergy.com/"" target=""_blank"">Sign up</a>","<a href=""https://www.directenergy.com/"" target=""_blank"">Learn more</a>"
Optional Green 100,Hampton Community Power Aggregation,$0.12918,4,100.00,No,1-866-485-5858,"<a href=""https://www.hamptonnh.gov/community-power"" target=""_blank"">Sign up</a>","<a href=""https://www.hamptonnh.gov/community-power"" target=""_blank"">Learn more</a>"
Embrace Green 12,CleanSky Energy,$0.12990,12,100.00,$75.00,1-888-355-6205,"<a href=""https://www.cleanskyenergy.com/"" target=""_blank"">Sign up</a>","<a href=""https://www.cleanskyenergy.com/"" target=""_blank"">Learn more</a>"
14 Month Standard Fixed,"North American Power & Gas, LLC",$0.12990,14,0.00,$10.00,877-572-9965,"<a href=""https://www.napower.com/"" target=""_blank"">Sign up</a>","<a href=""https://www.napower.com/"" target=""_blank"">Learn more</a>"
SureLock 12 - Residential,"XOOM Energy New Hampshire, LLC",$0.13090,12,0.00,$110.00,1-888-997-8979,"<a href=""https://www.xoomenergy.com/"" target=""_blank"">Sign up</a>","<a href=""https://www.xoomenergy.com/"" target=""_blank"">Learn more</a>"
SureLock 24,"XOOM Energy New Hampshire, LLC",$0.13190,24,0.00,$200.00,1-888-997-8979,"<a href=""https://www.xoomenergy.com/"" target=""_blank"">Sign up</a>","<a href=""https://www.xoomenergy.com/"" target=""_blank"">Learn more</a>"
Affordable Wind 12,CleanSky Energy,$0.13190,12,100.00,$75.00,1-888-355-6205,"<a href=""https://www.cleanskyenergy.com/"" target=""_blank"">Sign up</a>","<a href=""https://www.cleanskyenergy.com/"" target=""_blank"">Learn more</a>"
SimpleClean12 - Residential,"XOOM Energy New Hampshire, LLC",$0.13290,12,50.00,$110.00,1-888-997-8979,"<a href=""https://www.xoomenergy.com/"" target=""_blank"">Sign up</a>","<a href=""https://www.xoomenergy.com/"" target=""_blank"">Learn more</a>"
Go Green Lights 24,"Direct Energy Services, LLC",$0.13390,24,100.00,No,888-836-6141,"<a href=""https://www.directenergy.com/"" target=""_blank"">Sign up</a>","<a href=""https://www.directenergy.com/"" target=""_blank"">Learn more</a>"
Granite Basic - Residential,Community Power Coalition of NH,$0.13419,6,25.20,No,1-866-603-7697,"<a href=""https://www.cpcnh.org/"" target=""_blank"">Sign up</a>","<a href=""https://www.cpcnh.org/"" target=""_blank"">Learn more</a>"
Embrace Green 6,CleanSky Energy,$0.13490,6,100.00,$50.00,1-888-355-6205,"<a href=""https://www.cleanskyenergy.com/"" target=""_blank"">Sign up</a>","<a href=""https://www.cleanskyenergy.com/"" target=""_blank"">Learn more</a>"
White Mountain Select 12 Month Term,Ambit Energy,$0.13500,12,0.00,No,1-877-282-6248,"<a href=""https://www.ambitenergy.com/"" target=""_blank"">Sign up</a>","<a href=""https://www.ambitenergy.com/"" target=""_blank"">Learn more</a>"
Enfield Local - Residential,Community Power Coalition of NH,$0.13619,6,25.20,No,1-866-603-7697,"<a href=""https://www.cpcnh.org/"" target=""_blank"">Sign up</a>","<a href=""https://www.cpcnh.org/"" target=""_blank"">Learn more</a>"
Canterbury Basic - Residential,Community Power Coalition of NH,$0.13619,6,25.20,No,1-866-603-7697,"<a href=""https://www.cpcnh.org/"" target=""_blank"">Sign up</a>","<a href=""https://www.cpcnh.org/"" target=""_blank"">Learn more</a>"
New Boston GREEN 100%,New Boston Community Power,$0.13648,20,100.00,No,1-888-875-1711,"<a href=""https://www.cpcnh.org/"" target=""_blank"">Sign up</a>","<a href=""https://www.cpcnh.org/"" target=""_blank"">Learn more</a>"
Milford GREEN 100%,Milford Community Power,$0.13648,20,100.00,No,1-888-875-1711,"<a href=""https://www.cpcnh.org/"" target=""_blank"">Sign up</a>","<a href=""https://www.cpcnh.org/"" target=""_blank"">Learn more</a>"
Jaffrey GREEN 100%,Jaffrey Community Power,$0.13648,20,100.00,No,1-888-875-1711,"<a href=""https://www.cpcnh.org/"" target=""_blank"">Sign up</a>","<a href=""https://www.cpcnh.org/"" target=""_blank"">Learn more</a>"
RescueLock 12,"XOOM Energy New Hampshire, LLC",$0.13790,12,0.00,$110.00,1-888-997-8979,"<a href=""https://www.xoomenergy.com/"" target=""_blank"">Sign up</a>","<a href=""https://www.xoomenergy.com/"" target=""_blank"">Learn more</a>"
Keene 100% Local Green,Keene Community Power,$0.13900,30,100.00,No,1-866-968-8065,"<a href=""https://www.keenecommunitypower.org/"" target=""_blank"">Sign up</a>","<a href=""https://www.keenecommunitypower.org/"" target=""_blank"">Learn more</a>"
Marlborough 100,Marlborough Community Power,$0.13900,30,100.00,No,1-866-968-8065,"<a href=""https://www.marlboroughnh.org/community-power"" target=""_blank"">Sign up</a>","<a href=""https://www.marlboroughnh.org/community-power"" target=""_blank"">Learn more</a>"
Wilton 100,Wilton Community Power,$0.13900,30,100.00,No,1-866-968-8065,"<a href=""https://www.wiltonnh.gov/community-power"" target=""_blank"">Sign up</a>","<a href=""https://www.wiltonnh.gov/community-power"" target=""_blank"">Learn more</a>"
Swanzey 100,Swanzey Community Power,$0.13900,30,100.00,No,1-866-968-8065,"<a href=""https://www.town.swanzey.nh.us/community-power"" target=""_blank"">Sign up</a>","<a href=""https://www.town.swanzey.nh.us/community-power"" target=""_blank"">Learn more</a>"
14 Month Renewable Fixed,"North American Power & Gas, LLC",$0.13940,14,100.00,$10.00,877-572-9965,"<a href=""https://www.napower.com/"" target=""_blank"">Sign up</a>","<a href=""https://www.napower.com/"" target=""_blank"">Learn more</a>"
Peterborough Local - Residential,Community Power Coalition of NH,$0.13995,6,25.20,No,1-866-603-7697,"<a href=""https://www.cpcnh.org/"" target=""_blank"">Sign up</a>","<a href=""https://www.cpcnh.org/"" target=""_blank"">Learn more</a>"
Granite Plus - Residential,Community Power Coalition of NH,$0.14119,6,33.00,No,1-866-603-7697,"<a href=""https://www.cpcnh.org/"" target=""_blank"">Sign up</a>","<a href=""https://www.cpcnh.org/"" target=""_blank"">Learn more</a>"
Ultimate Perks 12,Ambit Energy,$0.14250,12,0.00,No,1-877-282-6248,"<a href=""https://www.ambitenergy.com/"" target=""_blank"">Sign up</a>","<a href=""https://www.ambitenergy.com/"" target=""_blank"">Learn more</a>"
Power Your Tomorrow - 4 Green,Town Square Energy,$0.14740,4,100.00,$50.00,1-877-430-0093,"<a href=""https://www.townsquareenergy.com/"" target=""_blank"">Sign up</a>","<a href=""https://www.townsquareenergy.com/"" target=""_blank"">Learn more</a>"
Clean 50 - Residential,Community Power Coalition of NH,$0.14819,6,50.00,No,1-866-603-7697,"<a href=""https://www.cpcnh.org/"" target=""_blank"">Sign up</a>","<a href=""https://www.cpcnh.org/"" target=""_blank"">Learn more</a>"
SimpleClean,"XOOM Energy New Hampshire, LLC",$0.16490,1,50.00,No,1-888-997-8979,"<a href=""https://www.xoomenergy.com/"" target=""_blank"">Sign up</a>","<a href=""https://www.xoomenergy.com/"" target=""_blank"">Learn more</a>"
Clean 100 - Residential,Community Power Coalition of NH,$0.16819,6,100.00,No,1-866-603-7697,"<a href=""https://www.cpcnh.org/"" target=""_blank"">Sign up</a>","<a href=""https://www.cpcnh.org/"" target=""_blank"">Learn more</a>"
Winter Break 12,Ambit Energy,$0.18500,12,0.00,No,1-877-282-6248,"<a href=""https://www.ambitenergy.com/"" target=""_blank"">Sign up</a>","<a href=""https://www.ambitenergy.com/"" target=""_blank"">Learn more</a>"
Winter Break 24,Ambit Energy,$0.18800,24,0.00,No,1-877-282-6248,"<a href=""https://www.ambitenergy.com/"" target=""_blank"">Sign up</a>","<a href=""https://www.ambitenergy.com/"" target=""_blank"">Learn more</a>"
