Plan Name,Supplier,Rate ($/kWh),Term (Months),Renewable %,Cancel Fee,Phone
SureLock 12 - Residential,"XOOM Energy New Hampshire, LLC",$0.13090,12,0.00,$110.00,1-888-997-8979
SureLock 24,"XOOM Energy New Hampshire, LLC",$0.13190,24,0.00,$200.00,1-888-997-8979
Affordable Wind 12,CleanSky Energy,$0.13190,12,100.00,$75.00,1-888-355-6205
SimpleClean12 - Residential,"XOOM Energy New Hampshire, LLC",$0.13290,12,50.00,$110.00,1-888-997-8979
Go Green Lights 24,"Direct Energy Services, LLC",$0.13390,24,100.00,No,888-836-6141
Granite Basic - Residential,Community Power Coalition of NH,$0.13419,6,25.20,No,1-866-603-7697
Embrace Green 6,CleanSky Energy,$0.13490,6,100.00,$50.00,1-888-355-6205
White Mountain Select 12 Month Term,Ambit Energy,$0.13500,12,0.00,No,1-877-282-6248
Enfield Local - Residential,Community Power Coalition of NH,$0.13619,6,25.20,No,1-866-603-7697
Canterbury Basic - Residential,Community Power Coalition of NH,$0.13619,6,25.20,No,1-866-603-7697
New Boston GREEN 100%,New Boston Community Power,$0.13648,20,100.00,No,1-888-875-1711
Milford GREEN 100%,Milford Community Power,$0.13648,20,100.00,No,1-888-875-1711
Jaffrey GREEN 100%,Jaffrey Community Power,$0.13648,20,100.00,No,1-888-875-1711
RescueLock 12,"XOOM Energy New Hampshire, LLC",$0.13790,12,0.00,$110.00,1-888-997-8979
Keene 100% Local Green,Keene Community Power,$0.13900,30,100.00,No,1-866-968-8065
Marlborough 100,Marlborough Community Power,$0.13900,30,100.00,No,1-866-968-8065
Wilton 100,Wilton Community Power,$0.13900,30,100.00,No,1-866-968-8065
Swanzey 100,Swanzey Community Power,$0.13900,30,100.00,No,1-866-968-8065
14 Month Renewable Fixed,"North American Power & Gas, LLC",$0.13940,14,100.00,$10.00,877-572-9965
Peterborough Local - Residential,Community Power Coalition of NH,$0.13995,6,25.20,No,1-866-603-7697
Granite Plus - Residential,Community Power Coalition of NH,$0.14119,6,33.00,No,1-866-603-7697
Ultimate Perks 12,Ambit Energy,$0.14250,12,0.00,No,1-877-282-6248
Power Your Tomorrow - 4 Green,Town Square Energy,$0.14740,4,100.00,$50.00,1-877-430-0093
Clean 50 - Residential,Community Power Coalition of NH,$0.14819,6,50.00,No,1-866-603-7697
SimpleClean,"XOOM Energy New Hampshire, LLC",$0.16490,1,50.00,No,1-888-997-8979
Clean 100 - Residential,Community Power Coalition of NH,$0.16819,6,100.00,No,1-866-603-7697
Winter Break 12,Ambit Energy,$0.18500,12,0.00,No,1-877-282-6248
Winter Break 24,Ambit Energy,$0.18800,24,0.00,No,1-877-282-6248
